household_id,district,province,urbanization_level,members_in_house,roofless_persons,roof_persons,income_lkr,computers_owned,dialog_subscriptions,slt_subscriptions,hutch_subscriptions,other_subscriptions,smartphone_count,electricity_available,has_4g_coverage,has_fiber_coverage,downlink_speed_mbps,uplink_speed_mbps,avg_monthly_broadband_bill_lkr,dialog_sentiment,slt_sentiment,hutch_sentiment,overall_bb_satisfaction_score,digital_literacy_score,ecommerce_usage_score,starlink_awareness,starlink_sentiment_score,starlink_prob_proxy,starlink_proxy_adoption
HH0003195,Matale,Central,Rural,7,0,7,169538.55,1,13,2,1,0,6,1,1,0,18.1,7.6,2229.3,0.043,-0.288,-0.093,-0.113,0.64,0.2,0,0.488,0.0163,No
HH0003196,Hambantota,Southern,Rural,1,0,1,101279.87,0,1,0,0,0,1,1,1,1,12.8,6.8,1588.33,0.166,-0.112,0.131,0.062,0.54,0.25,1,0.435,0.0004,No
HH0003197,Ratnapura,Sabaragamuwa,Rural,1,0,1,125689.13,0,1,0,0,0,0,1,0,0,20.2,4.6,3062.91,-0.001,-0.143,0.386,0.081,0.54,0.37,1,0.176,0.2812,No
HH0003198,Badulla,Uva,Rural,3,0,3,88728.43,0,0,0,2,0,2,1,1,1,20.4,6.2,2432.33,0.096,0.056,-0.215,-0.021,0.58,0.02,1,0.285,0.0328,No
HH0003199,Colombo,Western,Urban,1,0,1,300944.23,0,2,0,0,0,1,1,1,1,22.7,9.6,5232.28,0.076,0.151,-0.016,0.07,0.87,0.37,1,0.565,0.6364,Yes
HH0003200,Nuwara Eliya,Central,Rural,2,0,2,202628.47,0,1,1,0,0,1,1,1,1,13.7,6.4,2780.19,0.196,0.013,-0.27,-0.02,0.74,0.15,1,0.303,0.1289,No
HH0003201,Kilinochchi,Northern,Rural,3,0,3,57974.7,0,4,1,0,0,4,1,1,0,15.5,4.6,1473.8,0.23,0.157,-0.148,0.08,0.67,0.23,0,0.028,0.0001,No
HH0003202,Hambantota,Southern,Rural,3,0,3,145497.67,0,6,1,2,0,1,1,1,0,20.6,5.3,2358.87,0.166,-0.112,0.131,0.062,0.68,0.17,1,0.435,0.0597,No
HH0003203,Gampaha,Western,Urban,6,0,6,267383.02,1,7,1,0,0,8,1,1,1,28.6,10.6,4866.97,0.287,0.311,0.328,0.309,0.78,0.44,1,0.327,0.3966,No
HH0003204,Badulla,Uva,Rural,10,0,10,105835.27,3,5,9,1,0,6,1,1,0,14.2,5.9,2401.32,0.096,0.056,-0.215,-0.021,0.67,0.1,0,0.285,0.0289,No
HH0003205,Kurunegala,North-western,Rural,2,0,2,107212.96,0,0,0,0,0,1,1,1,0,12.9,6.4,2683.64,-0.057,0.221,-0.314,-0.05,0.58,0.07,0,0.281,0.0682,No
HH0003206,Polonnaruwa,North-central,Rural,2,0,2,170874.86,1,3,0,0,0,1,1,1,0,15.7,7.7,3039.49,-0.134,-0.014,-0.243,-0.13,0.57,0.13,0,0.203,0.1643,No
HH0003207,Badulla,Uva,Rural,1,0,1,150754.76,0,1,0,0,0,2,1,1,0,24.3,6.9,2306.26,0.096,0.056,-0.215,-0.021,0.52,0.0,0,0.285,0.0139,No
HH0003208,Puttalam,North-western,Rural,7,0,7,202902.44,2,2,3,4,0,4,1,1,0,15.3,5.3,1771.06,0.219,-0.003,-0.27,-0.018,0.66,0.08,0,0.544,0.0015,No
HH0003209,Galle,Southern,Semi-Urban,4,0,4,171346.67,0,8,2,0,3,2,1,1,0,21.4,4.3,2929.37,0.033,-0.026,-0.139,-0.044,0.86,0.36,0,0.346,0.069,No
HH0003210,Ampara,Eastern,Rural,3,0,3,117395.09,0,1,1,0,1,2,1,1,0,19.9,3.5,2301.72,0.259,0.17,-0.182,0.082,0.62,0.08,0,0.229,0.0139,No
HH0003211,Gampaha,Western,Urban,1,0,1,186354.36,0,0,0,0,0,1,1,1,1,28.3,9.3,4212.78,0.287,0.311,0.328,0.309,0.78,0.51,0,0.327,0.0925,No
HH0003212,Kurunegala,North-western,Rural,1,0,1,221703.66,0,2,1,1,0,0,1,1,0,12.2,5.3,2108.68,-0.057,0.221,-0.314,-0.05,0.6,0.12,0,0.281,0.01,No
HH0003213,Gampaha,Western,Urban,2,0,2,246792.6,0,2,0,0,0,2,1,1,0,25.0,11.3,4427.79,0.287,0.311,0.328,0.309,0.87,0.29,0,0.327,0.2784,No
HH0003214,Kurunegala,North-western,Rural,2,0,2,63355.53,1,1,2,0,0,1,1,1,0,14.3,2.8,2202.23,-0.057,0.221,-0.314,-0.05,0.76,0.02,0,0.281,0.0145,No
HH0003215,Kalutara,Western,Semi-Urban,5,0,5,234976.55,0,5,0,1,0,3,1,1,1,22.3,7.2,3156.73,0.024,0.114,0.232,0.123,0.56,0.31,0,0.097,0.0264,No
HH0003216,Gampaha,Western,Urban,5,0,5,226111.78,1,4,3,0,0,1,1,1,1,33.0,7.6,5290.12,0.287,0.311,0.328,0.309,0.86,0.43,0,0.327,0.2089,No
HH0003217,Gampaha,Western,Urban,2,0,2,196138.37,1,3,1,0,0,2,1,1,1,27.7,9.5,4894.38,0.287,0.311,0.328,0.309,0.87,0.36,0,0.327,0.1823,No
HH0003218,Colombo,Western,Urban,6,0,6,336322.05,0,7,2,1,0,6,1,1,1,19.2,7.3,5025.61,0.076,0.151,-0.016,0.07,0.9,0.45,0,0.565,0.3398,No
HH0003219,Kurunegala,North-western,Rural,2,0,2,199101.7,0,2,0,0,0,3,1,1,0,13.6,4.9,2362.92,-0.057,0.221,-0.314,-0.05,0.55,0.3,0,0.281,0.0253,No
HH0003220,Kurunegala,North-western,Rural,5,0,5,96260.27,0,4,2,0,1,4,1,1,0,15.5,3.5,2727.99,-0.057,0.221,-0.314,-0.05,0.52,0.17,1,0.281,0.1924,No
HH0003221,Hambantota,Southern,Rural,4,0,4,123903.54,0,7,1,0,0,3,1,1,0,9.6,5.1,2044.92,0.166,-0.112,0.131,0.062,0.46,0.4,0,0.435,0.0054,No
HH0003222,Gampaha,Western,Urban,5,0,5,97464.76,0,9,3,0,1,3,1,1,1,31.2,8.6,3963.57,0.287,0.311,0.328,0.309,0.81,0.35,0,0.327,0.0631,No
HH0003223,Colombo,Western,Urban,4,0,4,320730.8,0,3,3,1,0,5,1,1,1,30.5,9.4,5342.27,0.076,0.151,-0.016,0.07,0.86,0.36,1,0.565,0.6023,Yes
HH0003224,Colombo,Western,Urban,2,0,2,276690.09,0,3,1,0,0,4,1,1,1,24.8,9.9,5184.93,0.076,0.151,-0.016,0.07,0.87,0.53,1,0.565,0.6145,Yes
HH0003225,Gampaha,Western,Urban,5,0,5,181931.63,0,3,3,1,0,9,1,1,1,34.3,11.9,4826.34,0.287,0.311,0.328,0.309,0.83,0.4,0,0.327,0.1436,No
HH0003226,Monaragala,Uva,Rural,7,0,7,167553.49,0,6,1,3,2,8,1,1,0,16.8,6.1,2263.3,-0.059,0.046,0.226,0.071,0.56,0.35,1,0.309,0.0417,No
HH0003227,Kalutara,Western,Semi-Urban,5,0,5,156249.67,0,7,3,0,0,2,1,1,1,28.8,7.1,2248.48,0.024,0.114,0.232,0.123,0.63,0.21,0,0.097,0.0017,No
HH0003228,Matale,Central,Rural,3,0,3,140501.27,1,2,1,0,1,3,1,1,1,19.3,7.1,2792.3,0.043,-0.288,-0.093,-0.113,0.5,0.12,0,0.488,0.0344,No
HH0003229,Colombo,Western,Urban,2,0,2,278024.53,0,4,0,0,0,1,1,1,1,12.6,9.5,5055.83,0.076,0.151,-0.016,0.07,0.9,0.36,0,0.565,0.3861,No
HH0003230,Kalutara,Western,Semi-Urban,7,0,7,147017.37,0,13,6,0,0,4,1,1,0,21.3,6.5,3036.37,0.024,0.114,0.232,0.123,0.64,0.27,0,0.097,0.0526,No
HH0003231,Hambantota,Southern,Rural,3,0,3,117873.98,2,2,3,2,0,3,1,1,0,12.3,4.8,2543.58,0.166,-0.112,0.131,0.062,0.5,0.0,1,0.435,0.1103,No
HH0003232,Ampara,Eastern,Rural,6,0,6,112646.16,0,9,3,1,1,9,1,1,0,16.2,4.6,2667.67,0.259,0.17,-0.182,0.082,0.54,0.19,0,0.229,0.0463,No
HH0003233,Kalutara,Western,Semi-Urban,3,0,3,137323.9,0,4,1,0,1,5,1,1,0,22.7,8.3,2683.77,0.024,0.114,0.232,0.123,0.63,0.2,1,0.097,0.0676,No
HH0003234,Colombo,Western,Urban,3,0,3,443448.53,0,6,3,1,0,0,1,1,1,23.1,9.6,5343.52,0.076,0.151,-0.016,0.07,0.85,0.61,1,0.565,0.6505,Yes
HH0003235,Nuwara Eliya,Central,Rural,4,0,4,152903.7,3,4,1,0,0,2,1,1,0,18.1,9.2,2516.29,0.196,0.013,-0.27,-0.02,0.58,0.22,1,0.303,0.1103,No
HH0003236,Kalutara,Western,Semi-Urban,1,0,1,267018.16,0,2,1,0,0,0,1,1,0,24.9,10.8,2816.07,0.024,0.114,0.232,0.123,0.67,0.04,0,0.097,0.0309,No
HH0003237,Gampaha,Western,Urban,3,0,3,223059.78,0,3,2,0,0,6,1,1,1,22.9,9.5,4183.58,0.287,0.311,0.328,0.309,0.83,0.27,0,0.327,0.1083,No
HH0003238,Ratnapura,Sabaragamuwa,Rural,1,0,1,88969.36,0,0,0,0,0,1,1,1,0,18.5,6.5,2328.77,-0.001,-0.143,0.386,0.081,0.49,0.27,0,0.176,0.0136,No
HH0003239,Ampara,Eastern,Rural,2,0,2,159428.46,0,1,1,0,0,0,1,1,0,15.9,4.9,2802.71,0.259,0.17,-0.182,0.082,0.53,0.2,0,0.229,0.0675,No
HH0003240,Kilinochchi,Northern,Rural,5,0,5,116943.57,0,6,3,0,1,5,1,1,0,14.4,5.5,2340.86,0.23,0.157,-0.148,0.08,0.48,0.35,0,0.028,0.0164,No
HH0003241,Galle,Southern,Semi-Urban,2,0,2,189220.32,0,3,0,1,0,0,1,1,0,16.5,5.4,3176.58,0.033,-0.026,-0.139,-0.044,0.76,0.4,0,0.346,0.1172,No
HH0003242,Galle,Southern,Semi-Urban,4,0,4,152712.91,0,1,1,0,0,4,1,1,0,23.1,4.9,2937.23,0.033,-0.026,-0.139,-0.044,0.75,0.12,1,0.346,0.1752,No
HH0003243,Jaffna,Northern,Semi-Urban,1,0,1,79846.23,0,1,1,0,0,0,1,0,0,25.0,9.4,2955.99,0.064,0.05,-0.159,-0.015,0.66,0.23,1,0.341,0.1444,No
HH0003244,Kurunegala,North-western,Rural,8,0,8,162704.88,1,10,8,1,2,5,1,1,0,17.6,5.7,2192.91,-0.057,0.221,-0.314,-0.05,0.55,0.17,1,0.281,0.0376,No
HH0003245,Kurunegala,North-western,Rural,2,0,2,278535.94,0,0,2,0,0,1,1,1,0,15.2,3.9,2955.46,-0.057,0.221,-0.314,-0.05,0.53,0.23,0,0.281,0.1233,No
HH0003246,Gampaha,Western,Urban,3,0,3,270634.64,1,2,0,0,0,4,1,1,0,25.0,9.2,5147.33,0.287,0.311,0.328,0.309,0.77,0.37,1,0.327,0.6909,Yes
HH0003247,Hambantota,Southern,Rural,3,0,3,179102.63,0,3,2,0,1,2,1,1,0,15.1,3.2,2770.44,0.166,-0.112,0.131,0.062,0.66,0.04,0,0.435,0.0746,No
HH0003248,Galle,Southern,Semi-Urban,3,0,3,159838.62,0,5,0,0,0,4,1,1,1,16.0,4.9,2477.6,0.033,-0.026,-0.139,-0.044,0.69,0.35,0,0.346,0.0081,No
HH0003249,Badulla,Uva,Rural,6,0,6,126523.61,0,9,2,5,2,3,1,1,0,23.6,5.8,2238.47,0.096,0.056,-0.215,-0.021,0.53,0.25,0,0.285,0.0108,No
HH0003250,Ampara,Eastern,Rural,2,0,2,105459.48,0,2,0,0,1,3,1,1,0,21.4,4.0,2428.24,0.259,0.17,-0.182,0.082,0.56,0.07,1,0.229,0.0622,No
HH0003251,Jaffna,Northern,Semi-Urban,3,0,3,157985.09,0,2,1,0,1,1,1,1,1,23.6,7.8,2406.71,0.064,0.05,-0.159,-0.015,0.73,0.35,0,0.341,0.0051,No
HH0003252,Gampaha,Western,Urban,2,0,2,285779.79,0,1,2,2,0,2,1,1,1,25.4,12.7,5445.37,0.287,0.311,0.328,0.309,0.74,0.36,0,0.327,0.2453,No
HH0003253,Ampara,Eastern,Rural,4,0,4,124014.53,0,3,5,1,0,5,1,1,0,18.9,5.5,2382.28,0.259,0.17,-0.182,0.082,0.54,0.17,0,0.229,0.0177,No
HH0003254,Gampaha,Western,Urban,6,0,6,160909.66,0,7,3,1,1,5,1,1,1,22.5,8.4,4623.09,0.287,0.311,0.328,0.309,0.74,0.31,1,0.327,0.3673,No
HH0003255,Kandy,Central,Semi-Urban,3,0,3,125815.24,0,4,2,1,0,4,1,1,0,25.0,6.8,3463.16,-0.018,0.197,-0.178,0.0,0.63,0.14,0,0.028,0.1223,No
HH0003256,Gampaha,Western,Urban,3,0,3,133211.29,0,6,1,0,1,0,1,1,1,24.9,11.0,6230.9,0.287,0.311,0.328,0.309,0.6,0.32,1,0.327,0.5939,Yes
HH0003257,Kurunegala,North-western,Rural,5,0,5,138153.98,1,9,1,0,1,2,1,1,0,16.4,5.5,2598.45,-0.057,0.221,-0.314,-0.05,0.5,0.03,1,0.281,0.139,No
HH0003258,Gampaha,Western,Urban,7,0,7,241147.31,1,6,4,1,1,7,1,1,1,32.5,11.4,5366.83,0.287,0.311,0.328,0.309,0.74,0.27,0,0.327,0.1998,No
HH0003259,Nuwara Eliya,Central,Rural,7,0,7,117283.44,0,8,6,1,0,4,1,1,0,13.7,7.7,2284.75,0.196,0.013,-0.27,-0.02,0.52,0.03,1,0.303,0.0537,No
HH0003260,Monaragala,Uva,Rural,3,0,3,128056.04,0,4,0,0,0,1,1,1,0,17.7,4.0,2658.05,-0.059,0.046,0.226,0.071,0.71,0.17,0,0.309,0.0524,No
HH0003261,Gampaha,Western,Urban,2,0,2,293251.13,0,4,0,0,0,0,1,1,0,25.0,11.0,2246.31,0.287,0.311,0.328,0.309,0.87,0.28,0,0.327,0.0044,No
HH0003262,Hambantota,Southern,Rural,3,0,3,196242.44,1,2,0,0,1,1,1,0,0,10.0,5.9,2988.15,0.166,-0.112,0.131,0.062,0.54,0.23,0,0.435,0.1249,No
HH0003263,Galle,Southern,Semi-Urban,2,0,2,181815.83,0,1,1,1,0,3,1,1,0,16.9,7.5,3319.46,0.033,-0.026,-0.139,-0.044,0.66,0.25,0,0.346,0.1357,No
HH0003264,Colombo,Western,Urban,1,0,1,197540.3,0,1,0,0,0,1,1,1,0,18.4,8.6,4734.74,0.076,0.151,-0.016,0.07,0.77,0.34,1,0.565,0.7406,Yes
HH0003265,Anuradhapura,North-central,Rural,5,0,5,191884.49,0,10,2,0,0,8,1,1,0,17.6,3.9,2300.7,-0.166,-0.084,0.269,0.006,0.57,0.28,0,-0.263,0.0167,No
HH0003266,Colombo,Western,Urban,2,0,2,472702.18,0,3,2,0,0,3,1,1,1,24.2,9.5,4606.88,0.076,0.151,-0.016,0.07,0.72,0.45,1,0.565,0.4639,No
HH0003267,Matara,Southern,Semi-Urban,3,0,3,165390.12,0,6,1,0,0,0,1,1,0,19.6,7.1,3467.16,-0.062,-0.083,-0.003,-0.049,0.49,0.32,0,-0.099,0.1373,No
HH0003268,Mannar,Northern,Rural,4,0,4,148038.61,0,5,1,0,0,3,1,1,0,19.3,5.8,2408.88,0.027,-0.179,-0.372,-0.175,0.45,0.2,0,0.156,0.0283,No
HH0003269,Ampara,Eastern,Rural,3,0,3,132173.82,0,1,0,2,0,3,1,0,1,21.0,5.0,2422.05,0.259,0.17,-0.182,0.082,0.64,0.0,1,0.229,0.0287,No
HH0003270,Kurunegala,North-western,Rural,1,0,1,136232.52,0,1,0,0,0,1,1,1,0,15.0,3.8,2771.96,-0.057,0.221,-0.314,-0.05,0.53,0.0,1,0.281,0.2205,No
HH0003271,Kalutara,Western,Semi-Urban,4,0,4,225337.34,0,5,2,1,0,1,1,1,0,25.0,8.3,2460.3,0.024,0.114,0.232,0.123,0.64,0.0,1,0.097,0.0342,No
HH0003272,Colombo,Western,Urban,3,0,3,277420.62,1,5,2,0,0,4,1,1,0,25.0,9.8,4678.38,0.076,0.151,-0.016,0.07,0.78,0.33,1,0.565,0.6988,Yes
HH0003273,Kurunegala,North-western,Rural,3,0,3,123896.91,1,6,2,1,1,2,1,1,0,13.2,4.1,2897.84,-0.057,0.221,-0.314,-0.05,0.69,0.09,0,0.281,0.1264,No
HH0003274,Jaffna,Northern,Semi-Urban,6,0,6,72496.16,0,9,6,0,1,8,1,1,0,24.5,9.0,2233.03,0.064,0.05,-0.159,-0.015,0.75,0.36,0,0.341,0.0059,No
HH0003275,Polonnaruwa,North-central,Rural,6,0,6,124535.79,0,5,3,1,0,0,1,0,0,17.2,4.5,2355.97,-0.134,-0.014,-0.243,-0.13,0.63,0.38,0,0.203,0.0269,No
HH0003276,Anuradhapura,North-central,Rural,1,0,1,75976.46,0,0,1,1,1,1,1,1,0,20.4,5.9,2732.86,-0.166,-0.084,0.269,0.006,0.62,0.21,0,-0.263,0.0576,No
HH0003277,Badulla,Uva,Rural,4,0,4,82869.37,0,1,0,0,0,3,1,1,0,19.5,4.8,1705.16,0.096,0.056,-0.215,-0.021,0.54,0.06,0,0.285,0.0007,No
HH0003278,Matara,Southern,Semi-Urban,3,0,3,106609.41,0,3,0,0,1,3,1,1,0,25.0,3.8,3395.71,-0.062,-0.083,-0.003,-0.049,0.54,0.33,1,-0.099,0.2891,No
HH0003279,Kandy,Central,Semi-Urban,8,0,8,160066.03,0,11,0,2,1,5,1,1,0,25.0,8.8,2012.93,-0.018,0.197,-0.178,0.0,0.61,0.24,1,0.028,0.0066,No
HH0003280,Anuradhapura,North-central,Rural,2,0,2,107494.81,0,1,0,1,0,0,1,1,0,14.0,4.0,2964.5,-0.166,-0.084,0.269,0.006,0.44,0.21,1,-0.263,0.2761,No
HH0003281,Galle,Southern,Semi-Urban,2,0,2,169623.27,0,4,0,0,0,1,1,1,0,19.8,6.3,3231.98,0.033,-0.026,-0.139,-0.044,0.75,0.43,0,0.346,0.1171,No
HH0003282,Gampaha,Western,Urban,2,0,2,151835.81,1,0,1,0,1,3,1,1,1,19.3,9.3,5583.75,0.287,0.311,0.328,0.309,0.72,0.29,1,0.327,0.5696,Yes
HH0003283,Badulla,Uva,Rural,1,0,1,156316.85,0,0,1,0,0,1,1,1,0,21.4,4.5,2864.29,0.096,0.056,-0.215,-0.021,0.69,0.21,0,0.285,0.093,No
HH0003284,Badulla,Uva,Rural,2,0,2,91110.08,0,3,1,0,0,1,1,1,0,15.5,6.9,2986.44,0.096,0.056,-0.215,-0.021,0.52,0.1,0,0.285,0.1137,No
HH0003285,Matara,Southern,Semi-Urban,5,0,5,123343.78,0,5,4,0,0,4,1,1,0,23.7,6.8,4286.61,-0.062,-0.083,-0.003,-0.049,0.73,0.23,0,-0.099,0.3529,No
HH0003286,Colombo,Western,Urban,2,0,2,256148.57,0,1,0,1,0,3,1,1,0,17.9,5.8,5362.65,0.076,0.151,-0.016,0.07,0.85,0.58,0,0.565,0.6135,Yes
HH0003287,Nuwara Eliya,Central,Rural,3,0,3,114329.62,0,2,0,0,0,2,1,1,0,25.0,10.9,2789.94,0.196,0.013,-0.27,-0.02,0.59,0.21,0,0.303,0.0628,No
HH0003288,Anuradhapura,North-central,Rural,3,0,3,190282.39,0,2,1,1,0,5,1,1,0,14.0,5.7,1999.77,-0.166,-0.084,0.269,0.006,0.64,0.08,0,-0.263,0.0053,No
HH0003289,Monaragala,Uva,Rural,1,0,1,124982.46,0,0,0,0,0,2,1,1,0,19.1,3.0,3183.3,-0.059,0.046,0.226,0.071,0.47,0.0,0,0.309,0.1288,No
HH0003290,Gampaha,Western,Urban,3,0,3,187206.49,0,3,1,0,0,3,1,1,1,20.3,9.8,5302.24,0.287,0.311,0.328,0.309,0.72,0.43,1,0.327,0.5188,Yes
HH0003291,Colombo,Western,Urban,1,0,1,136225.07,0,0,0,0,0,1,1,1,0,25.0,6.2,5381.52,0.076,0.151,-0.016,0.07,0.98,0.46,1,0.565,0.8282,Yes
HH0003292,Badulla,Uva,Rural,5,0,5,186957.57,0,3,0,1,0,4,1,0,0,21.9,4.7,2326.57,0.096,0.056,-0.215,-0.021,0.59,0.24,1,0.285,0.0554,No
HH0003293,Nuwara Eliya,Central,Rural,1,0,1,116097.35,0,2,2,0,0,0,1,1,0,25.0,8.1,1980.94,0.196,0.013,-0.27,-0.02,0.71,0.3,0,0.303,0.0038,No
HH0003294,Jaffna,Northern,Semi-Urban,3,0,3,148356.89,0,0,0,1,0,1,1,1,0,25.0,7.4,2848.54,0.064,0.05,-0.159,-0.015,0.65,0.27,0,0.341,0.04,No
HH0003295,Kegalle,Sabaragamuwa,Rural,5,0,5,116936.94,0,5,5,0,0,4,1,1,0,16.3,3.4,2658.48,-0.025,0.034,-0.226,-0.072,0.67,0.38,0,-0.101,0.0662,No
HH0003296,Colombo,Western,Urban,2,0,2,411996.49,0,0,1,1,0,1,1,1,0,20.9,7.5,5318.91,0.076,0.151,-0.016,0.07,0.71,0.38,0,0.565,0.5577,Yes
HH0003297,Trincomalee,Eastern,Rural,3,0,3,76099.19,0,2,1,1,0,2,1,1,0,22.8,3.8,2545.32,-0.027,0.101,-0.064,0.003,0.59,0.08,0,0.2,0.0311,No
HH0003298,Colombo,Western,Urban,2,0,2,331152.43,0,2,1,1,0,0,1,1,0,25.0,9.6,4684.8,0.076,0.151,-0.016,0.07,0.76,0.63,0,0.565,0.4099,No
HH0003299,Nuwara Eliya,Central,Rural,9,0,9,192590.59,0,7,4,0,1,6,1,1,0,21.3,7.3,2439.38,0.196,0.013,-0.27,-0.02,0.53,0.23,0,0.303,0.0249,No
HH0003300,Anuradhapura,North-central,Rural,3,0,3,143205.8,0,2,0,0,0,3,1,1,0,18.8,4.7,2367.46,-0.166,-0.084,0.269,0.006,0.52,0.04,0,-0.263,0.0192,No
HH0003301,Galle,Southern,Semi-Urban,4,0,4,114890.76,0,3,2,0,0,4,1,1,0,18.4,6.2,2786.69,0.033,-0.026,-0.139,-0.044,0.73,0.36,1,0.346,0.1363,No
HH0003302,Kegalle,Sabaragamuwa,Rural,4,0,4,179474.32,0,3,3,1,0,1,1,1,0,17.1,4.4,3331.83,-0.025,0.034,-0.226,-0.072,0.64,0.3,0,-0.101,0.2475,No
HH0003303,Mannar,Northern,Rural,6,0,6,115817.67,0,4,2,2,0,2,1,1,0,21.0,5.8,2998.92,0.027,-0.179,-0.372,-0.175,0.48,0.1,0,0.156,0.129,No
HH0003304,Kandy,Central,Semi-Urban,2,0,2,97307.25,1,3,1,0,0,4,1,1,0,20.1,6.3,2962.09,-0.018,0.197,-0.178,0.0,0.77,0.17,0,0.028,0.0623,No
HH0003305,Gampaha,Western,Urban,7,0,7,194939.66,0,8,5,1,0,7,1,0,1,27.5,8.9,5076.73,0.287,0.311,0.328,0.309,0.95,0.52,1,0.327,0.4831,No
HH0003306,Matale,Central,Rural,1,0,1,121028.15,0,0,0,1,0,0,1,1,0,19.1,4.7,2839.29,0.043,-0.288,-0.093,-0.113,0.65,0.27,0,0.488,0.1018,No
HH0003307,Nuwara Eliya,Central,Rural,3,0,3,138880.37,0,3,0,0,0,2,1,1,0,23.4,8.7,1988.51,0.196,0.013,-0.27,-0.02,0.46,0.09,0,0.303,0.0033,No
HH0003308,Colombo,Western,Urban,3,0,3,325983.62,1,6,1,0,0,4,1,1,0,18.6,10.5,5573.62,0.076,0.151,-0.016,0.07,0.93,0.28,1,0.565,0.8677,Yes
HH0003309,Matale,Central,Rural,6,0,6,145105.66,1,8,4,1,0,9,1,1,0,12.4,6.5,2824.19,0.043,-0.288,-0.093,-0.113,0.47,0.1,0,0.488,0.1001,No
HH0003310,Matara,Southern,Semi-Urban,4,0,4,97357.61,0,4,1,2,0,4,1,1,0,20.8,4.7,3869.02,-0.062,-0.083,-0.003,-0.049,0.73,0.05,0,-0.099,0.2551,No
HH0003311,Kurunegala,North-western,Rural,2,0,2,112600.99,0,4,1,0,1,0,1,1,0,15.5,3.7,3030.93,-0.057,0.221,-0.314,-0.05,0.62,0.24,1,0.281,0.3606,No
HH0003312,Trincomalee,Eastern,Rural,6,0,6,104584.11,1,5,5,1,1,5,1,1,0,20.6,5.5,2562.66,-0.027,0.101,-0.064,0.003,0.41,0.0,0,0.2,0.0303,No
HH0003313,Kurunegala,North-western,Rural,2,0,2,154060.82,0,4,0,0,0,2,1,1,0,13.4,4.6,2077.38,-0.057,0.221,-0.314,-0.05,0.58,0.04,0,0.281,0.008,No
HH0003314,Colombo,Western,Urban,5,0,5,185611.28,1,6,3,1,0,5,1,1,1,33.8,9.4,4527.34,0.076,0.151,-0.016,0.07,0.77,0.36,0,0.565,0.1578,No
HH0003315,Gampaha,Western,Urban,1,0,1,158035.09,0,2,1,0,0,1,1,1,0,22.0,10.4,4479.96,0.287,0.311,0.328,0.309,0.76,0.48,1,0.327,0.5626,Yes
HH0003316,Kurunegala,North-western,Rural,6,0,6,102925.7,0,3,0,2,1,5,1,1,0,10.7,3.6,2165.44,-0.057,0.221,-0.314,-0.05,0.55,0.0,1,0.281,0.0386,No
HH0003317,Matara,Southern,Semi-Urban,6,0,6,73828.48,0,3,3,5,0,4,1,1,0,20.4,5.9,2879.23,-0.062,-0.083,-0.003,-0.049,0.76,0.34,0,-0.099,0.0531,No
HH0003318,Colombo,Western,Urban,8,0,8,307161.28,1,10,5,1,1,12,1,1,1,20.4,8.6,6112.53,0.076,0.151,-0.016,0.07,0.85,0.39,0,0.565,0.4935,No
HH0003319,Anuradhapura,North-central,Rural,3,0,3,145322.25,0,2,3,0,0,3,1,1,0,20.5,5.5,2925.3,-0.166,-0.084,0.269,0.006,0.62,0.2,0,-0.263,0.0971,No
HH0003320,Puttalam,North-western,Rural,2,0,2,125754.43,0,3,0,0,0,0,1,1,0,13.8,4.0,1752.64,0.219,-0.003,-0.27,-0.018,0.6,0.15,0,0.544,0.0012,No
HH0003321,Jaffna,Northern,Semi-Urban,3,0,3,142771.9,0,1,1,1,0,1,1,1,0,25.0,6.7,3038.62,0.064,0.05,-0.159,-0.015,0.55,0.02,1,0.341,0.1641,No
HH0003322,Colombo,Western,Urban,6,0,6,311145.09,0,8,4,4,0,5,1,1,0,25.0,7.1,4401.71,0.076,0.151,-0.016,0.07,0.95,0.44,0,0.565,0.3878,No
HH0003323,Puttalam,North-western,Rural,5,0,5,219828.29,1,5,2,0,0,2,0,1,0,16.2,4.3,3028.06,0.219,-0.003,-0.27,-0.018,0.67,0.2,0,0.544,0.1474,No
HH0003324,Batticaloa,Eastern,Rural,8,0,8,117333.77,0,8,2,0,0,11,1,1,0,18.9,5.4,2518.85,0.248,-0.029,-0.129,0.03,0.62,0.2,1,0.192,0.102,No
HH0003325,Anuradhapura,North-central,Rural,3,0,3,99443.12,0,1,1,0,0,1,1,1,0,13.0,6.3,2375.11,-0.166,-0.084,0.269,0.006,0.62,0.24,1,-0.263,0.0776,No
HH0003326,Puttalam,North-western,Rural,1,0,1,170117.27,0,0,0,0,0,0,1,1,1,14.9,5.8,2465.07,0.219,-0.003,-0.27,-0.018,0.63,0.0,0,0.544,0.0145,No
HH0003327,Anuradhapura,North-central,Rural,3,0,3,122198.68,1,4,2,0,0,5,1,1,0,15.7,3.1,2477.45,-0.166,-0.084,0.269,0.006,0.64,0.03,0,-0.263,0.0336,No
HH0003328,Hambantota,Southern,Rural,2,0,2,119760.67,0,2,0,0,0,2,1,1,0,10.1,2.9,3415.68,0.166,-0.112,0.131,0.062,0.37,0.19,1,0.435,0.4742,No
HH0003329,Gampaha,Western,Urban,4,0,4,153073.51,1,3,1,0,0,3,1,1,0,25.0,11.4,3959.23,0.287,0.311,0.328,0.309,0.72,0.6,0,0.327,0.1571,No
